long,lat,n
-76.6836,39.3214,1
-76.6836,39.3429,2
-76.6836,39.3516,1
-76.6835,39.2782,1
-76.6835,39.2841,3
-76.6835,39.3225,2
-76.6835,39.3255,1
-76.6835,39.3366,1
-76.6835,39.3477,1
-76.6834,39.28,1
-76.6834,39.2803,1
-76.6834,39.2817,1
-76.6834,39.2828,1
-76.6834,39.2834,1
-76.6834,39.3368,1
-76.6834,39.3517,3
-76.6834,39.3518,1
-76.6834,39.3606,1
-76.6833,39.3218,1
-76.6833,39.3262,1
-76.6833,39.3449,2
-76.6832,39.2964,1
-76.6832,39.3472,4
-76.6831,39.3334,1
-76.683,39.2924,1
-76.683,39.3506,1
-76.683,39.3514,1
-76.683,39.353,1
-76.6829,39.3181,2
-76.6829,39.3247,1
-76.6829,39.3393,1
-76.6829,39.3398,1
-76.6829,39.3503,1
-76.6828,39.2818,1
-76.6828,39.2839,1
-76.6828,39.3183,1
-76.6828,39.3249,1
-76.6828,39.3482,2
-76.6827,39.2797,1
-76.6827,39.2817,1
-76.6827,39.3088,2
-76.6827,39.3111,1
-76.6827,39.3261,1
-76.6827,39.3264,1
-76.6827,39.3314,2
-76.6827,39.3324,1
-76.6827,39.3352,1
-76.6827,39.3423,7
-76.6826,39.2835,2
-76.6826,39.3275,5
-76.6826,39.3305,2
-76.6826,39.3514,1
-76.6826,39.3567,2
-76.6825,39.2817,3
-76.6825,39.2836,1
-76.6825,39.2918,1
-76.6825,39.3294,4
-76.6825,39.3432,1
-76.6825,39.3442,2
-76.6824,39.2836,1
-76.6824,39.2919,1
-76.6824,39.3222,1
-76.6824,39.3274,2
-76.6824,39.3305,1
-76.6824,39.3442,2
-76.6824,39.3443,1
-76.6824,39.3477,1
-76.6823,39.3214,2
-76.6823,39.3286,1
-76.6823,39.3443,1
-76.6822,39.2817,1
-76.6822,39.2843,1
-76.6822,39.2993,1
-76.6822,39.3251,1
-76.6822,39.3499,1
-76.6822,39.3537,2
-76.6821,39.2836,2
-76.6821,39.2971,2
-76.6821,39.2972,1
-76.6821,39.3343,1
-76.682,39.2818,2
-76.682,39.2828,1
-76.682,39.283,1
-76.682,39.3343,1
-76.6819,39.311,1
-76.6819,39.3113,1
-76.6818,39.2936,1
-76.6818,39.3243,1
-76.6818,39.3332,1
-76.6818,39.3428,1
-76.6818,39.3446,1
-76.6817,39.2704,2
-76.6817,39.3191,2
-76.6817,39.3231,1
-76.6817,39.3425,2
-76.6817,39.3699,3
-76.6816,39.2853,4
-76.6816,39.2995,3
-76.6816,39.3161,1
-76.6816,39.3272,1
-76.6816,39.3482,3
-76.6816,39.3698,1
-76.6815,39.2937,1
-76.6815,39.3427,1
-76.6815,39.3453,3
-76.6815,39.3508,1
-76.6813,39.2939,1
-76.6813,39.2951,1
-76.6813,39.352,1
-76.6812,39.3234,1
-76.6812,39.3429,1
-76.6811,39.2829,1
-76.6811,39.2851,1
-76.6811,39.327,2
-76.6811,39.3478,1
-76.681,39.343,1
-76.6809,39.2842,2
-76.6809,39.3486,1
-76.6809,39.3504,3
-76.6808,39.3523,1
-76.6807,39.3117,1
-76.6807,39.3375,1
-76.6807,39.3509,1
-76.6806,39.2917,5
-76.6806,39.2918,2
-76.6806,39.2926,2
-76.6806,39.3228,1
-76.6806,39.3447,1
-76.6806,39.3462,6
-76.6806,39.3573,1
-76.6805,39.2907,1
-76.6805,39.2999,4
-76.6805,39.3161,1
-76.6805,39.3345,1
-76.6805,39.3426,1
-76.6804,39.2917,1
-76.6804,39.2918,3
-76.6804,39.3392,1
-76.6804,39.3433,1
-76.6804,39.3463,3
-76.6803,39.2845,1
-76.6803,39.3432,1
-76.6803,39.3433,2
-76.6803,39.3556,1
-76.6802,39.3143,1
-76.6802,39.3202,1
-76.6802,39.3445,2
-76.6801,39.2988,2
-76.6801,39.3223,1
-76.6801,39.3344,1
-76.6801,39.3472,1
-76.68,39.3128,1
-76.68,39.345,1
-76.6799,39.2848,2
-76.6799,39.2956,1
-76.6799,39.3297,1
-76.6799,39.3535,1
-76.6798,39.284,1
-76.6798,39.2945,1
-76.6798,39.3467,1
-76.6798,39.3579,2
-76.6797,39.2645,2
-76.6797,39.2932,3
-76.6797,39.294,2
-76.6796,39.2852,1
-76.6796,39.2918,2
-76.6796,39.294,1
-76.6796,39.3088,1
-76.6796,39.3264,1
-76.6796,39.3333,1
-76.6795,39.336,1
-76.6795,39.3419,1
-76.6794,39.3183,1
-76.6794,39.3255,2
-76.6794,39.336,3
-76.6794,39.3364,1
-76.6794,39.3529,1
-76.6794,39.3587,2
-76.6793,39.2856,1
-76.6793,39.2964,1
-76.6793,39.3151,1
-76.6793,39.3152,1
-76.6792,39.3152,1
-76.6792,39.3344,1
-76.6792,39.3388,1
-76.6791,39.3469,2
-76.679,39.3265,1
-76.679,39.3614,2
-76.6789,39.3335,1
-76.6789,39.3344,1
-76.6789,39.3346,2
-76.6789,39.3354,1
-76.6789,39.3469,1
-76.6788,39.2846,1
-76.6788,39.2927,2
-76.6788,39.3473,1
-76.6788,39.3498,1
-76.6786,39.2706,1
-76.6786,39.2966,4
-76.6786,39.3381,1
-76.6786,39.3442,2
-76.6785,39.2706,1
-76.6785,39.2861,1
-76.6785,39.294,2
-76.6785,39.2954,1
-76.6785,39.2955,1
-76.6785,39.2988,2
-76.6784,39.294,2
-76.6784,39.2945,1
-76.6784,39.3445,3
-76.6783,39.2928,1
-76.6783,39.3123,1
-76.6783,39.3476,2
-76.6782,39.2864,1
-76.6782,39.2903,1
-76.6782,39.3184,1
-76.6781,39.2865,1
-76.6781,39.2901,1
-76.6781,39.3282,1
-76.6781,39.3423,1
-76.678,39.3143,1
-76.678,39.3259,1
-76.678,39.3421,1
-76.6779,39.2927,3
-76.6779,39.3381,1
-76.6779,39.339,3
-76.6778,39.3465,1
-76.6777,39.289,1
-76.6777,39.3466,1
-76.6777,39.348,1
-76.6775,39.2902,2
-76.6775,39.2938,1
-76.6775,39.2941,1
-76.6775,39.3335,1
-76.6775,39.3436,1
-76.6775,39.3449,1
-76.6775,39.3478,2
-76.6774,39.291,1
-76.6774,39.2919,1
-76.6774,39.2953,1
-76.6774,39.3372,1
-76.6774,39.3373,1
-76.6774,39.3427,4
-76.6774,39.3449,1
-76.6773,39.2892,1
-76.6773,39.2893,2
-76.6773,39.3203,3
-76.6773,39.343,1
-76.6772,39.3375,2
-76.6771,39.342,1
-76.6771,39.352,2
-76.677,39.2667,3
-76.677,39.272,1
-76.677,39.2938,1
-76.677,39.3248,1
-76.677,39.3302,1
-76.677,39.3312,1
-76.677,39.3346,1
-76.677,39.3562,1
-76.6769,39.2886,2
-76.6769,39.296,1
-76.6769,39.3162,1
-76.6769,39.3164,1
-76.6769,39.3183,1
-76.6769,39.3208,1
-76.6769,39.3313,1
-76.6769,39.3347,3
-76.6769,39.342,1
-76.6769,39.3705,1
-76.6768,39.2658,1
-76.6768,39.2679,1
-76.6768,39.2687,1
-76.6768,39.2885,2
-76.6768,39.2887,1
-76.6768,39.3418,1
-76.6767,39.2644,1
-76.6767,39.2883,1
-76.6767,39.3383,1
-76.6767,39.3515,1
-76.6766,39.2831,1
-76.6766,39.2833,1
-76.6766,39.3514,1
-76.6765,39.2817,1
-76.6765,39.2941,1
-76.6764,39.2955,1
-76.6764,39.2964,1
-76.6764,39.3405,1
-76.6764,39.3458,1
-76.6763,39.2956,1
-76.6763,39.311,1
-76.6763,39.3429,1
-76.6763,39.3453,1
-76.6763,39.3489,2
-76.6762,39.2858,1
-76.6762,39.2891,2
-76.6762,39.3222,4
-76.6762,39.3459,1
-76.6761,39.2904,1
-76.6761,39.3416,1
-76.6761,39.3456,1
-76.6761,39.3474,3
-76.6761,39.349,1
-76.676,39.2703,1
-76.676,39.2926,2
-76.676,39.3089,3
-76.676,39.3099,19
-76.676,39.349,2
-76.676,39.3491,4
-76.6759,39.3162,2
-76.6758,39.2918,1
-76.6758,39.2926,1
-76.6758,39.296,4
-76.6758,39.3366,1
-76.6757,39.3336,1
-76.6756,39.2669,1
-76.6756,39.2941,2
-76.6756,39.3108,2
-76.6755,39.2668,1
-76.6755,39.2855,1
-76.6755,39.2899,1
-76.6755,39.2928,1
-76.6755,39.2945,1
-76.6755,39.3202,4
-76.6755,39.3204,1
-76.6755,39.344,2
-76.6755,39.3472,5
-76.6754,39.2623,1
-76.6754,39.2854,1
-76.6754,39.29,1
-76.6754,39.2914,1
-76.6754,39.292,1
-76.6754,39.3439,1
-76.6754,39.365,1
-76.6753,39.2955,1
-76.6753,39.3308,1
-76.6752,39.2814,2
-76.6752,39.3114,1
-76.6752,39.3311,1
-76.6752,39.3651,1
-76.6751,39.2833,1
-76.6751,39.3114,8
-76.6751,39.3174,2
-76.6751,39.3486,2
-76.675,39.2726,1
-76.675,39.2727,2
-76.675,39.2859,1
-76.675,39.2882,2
-76.675,39.2957,1
-76.675,39.2966,2
-76.675,39.2975,1
-76.675,39.311,4
-76.675,39.3114,1
-76.675,39.3172,1
-76.675,39.3242,1
-76.675,39.3436,2
-76.675,39.3654,1
-76.6749,39.3202,1
-76.6749,39.3467,1
-76.6748,39.3141,8
-76.6748,39.3436,2
-76.6748,39.3483,8
-76.6747,39.2812,1
-76.6747,39.3218,2
-76.6747,39.3485,1
-76.6746,39.2921,1
-76.6746,39.3109,1
-76.6746,39.3442,1
-76.6746,39.3444,1
-76.6746,39.3603,1
-76.6745,39.291,1
-76.6745,39.3442,1
-76.6744,39.2677,1
-76.6743,39.2823,1
-76.6743,39.311,2
-76.6743,39.345,1
-76.6742,39.2942,2
-76.6742,39.2948,1
-76.6741,39.2928,1
-76.6741,39.293,1
-76.6741,39.2948,1
-76.6741,39.3441,2
-76.674,39.2864,1
-76.674,39.293,1
-76.674,39.2966,1
-76.674,39.3366,1
-76.674,39.3486,1
-76.6738,39.2899,3
-76.6737,39.2902,1
-76.6737,39.2939,2
-76.6737,39.2942,2
-76.6737,39.334,1
-76.6736,39.296,2
-76.6736,39.3341,1
-76.6736,39.3414,4
-76.6736,39.3475,1
-76.6735,39.286,1
-76.6735,39.2875,1
-76.6735,39.2929,1
-76.6735,39.3486,1
-76.6734,39.2837,1
-76.6734,39.2875,1
-76.6733,39.2858,1
-76.6733,39.2859,1
-76.6733,39.3319,1
-76.6732,39.2733,1
-76.6731,39.2859,1
-76.6731,39.3355,1
-76.6731,39.3494,2
-76.673,39.3049,1
-76.6729,39.294,1
-76.6729,39.3111,1
-76.6729,39.3214,2
-76.6729,39.3333,1
-76.6728,39.2941,1
-76.6728,39.3131,1
-76.6728,39.3141,1
-76.6727,39.2912,2
-76.6727,39.2914,1
-76.6727,39.2919,2
-76.6726,39.3111,1
-76.6726,39.3374,2
-76.6726,39.3509,1
-76.6725,39.2735,6
-76.6725,39.2891,1
-76.6725,39.33,1
-76.6725,39.3481,1
-76.6724,39.2859,4
-76.6724,39.287,5
-76.6724,39.3397,1
-76.6724,39.342,2
-76.6723,39.2848,1
-76.6723,39.2859,1
-76.6723,39.286,4
-76.6723,39.2866,1
-76.6723,39.2875,5
-76.6723,39.307,1
-76.6723,39.3498,1
-76.6723,39.3506,1
-76.6722,39.2776,1
-76.6722,39.3044,3
-76.6722,39.3059,2
